Company Name, Email, Telephone, Website
2 GARENI INDUSTRIE, contact@2gareni-industrie.com, +33553658040, http://www.2gareni-industrie.com
ACTIA, c.cotillon@actia-asso.eu, +33144088620, http://www.actia-asso.eu
ADIR, adir@adir.info, +33262944300, http://www.adir.re
AFEID, afeid@irstea.fr, +33467046316, http://www.afeid.org
AFRICOLE, lebeaupindulestin@gmail.com, , http://
AGREENIUM, info@agreenium.fr, 0153702000, http://www.agreenium.com
AGRI TERROIR COMMUNICATION, a.herve@groupe-atc.com, +33140052323, http://
AGROPOLIS INTERNATIONAL, agropolis@agropolis.fr, +33467047575, http://www.agropolis.fr
ALBAGNAC SAS, info@albagnac.com, (05)65242520, http://www.albagnac.com
APPLIC’ETAINS, commercial@applicetains.com, 0553569098, http://www.applicetains.com
AQUA PHYTO, aquaphyto@outlook.fr, 0247983394, http://www.aquaphyto.fr
AQUA VALLEY, coordination@swelia.com, +33434883450, http://www.pole-eau.com/
ARDES SASU, customer@ardes-france.com, +33474933334, http://www.ardes-group.com
ASSOCIATION FRANCAISE DU FROID, a.f.f@wanadoo.fr, +33145445252, http://www.aff.asso.fr
AUCTOREM, sylvie.morvan@auctorem.fr, +33140607577, http://www.auctorem.fr
AVEDEMIL, contact@avedemil.com, +33545891148, http://www.avedemil.com
AVL, contact@avlimportexport.com, 0241380400, http://www.avlimportexport.com
AXEREAL, communication@axereal.com, +33234595100, http://www.axereal.com
BECOT CLIMATIQUE, tbecot@becotclimatique.com, +33549741275, http://www.becotclimatique.com
BEG INGENIERIE, sylvain.nomdedeu@beg-ing.com, 0238515656, https:\\www.beg-ing.com
BENNE SA, benne@benne-sa.fr, +33563626000, http://www.benne-sa.fr
BIAUGEAUD, contact@biaugeaud.com, +33557102810, http://www.biaugeaud.com
Bioline by InVivo, hdoutriaux@invivo-group.com, +33+33140662776, http://www.invivo-group.com
BLEZAT, ml.blezat-duboureau@blezat.com, +33+33142662258, http://www.blezat.fr
BNP PARIBAS, laure.meurville-lepaul@bnpparibas.com, +33143169133, http://www.bnpparibas.fr
BOCCARD Process Solutions, food@boccard.com, +33299063470, http://www.boccard.com
BONGARD, bongard@bongard.fr, 0388780023   , http://www.bongard.fr
BONILAIT PROTEINES, export@bonilait.com, +33549393000, http://www.bonilait-proteines.com
BRETAGNE COMMERCE INTERNATIONAL, contact@bretagnecommerceinternational.com, +33299250404, http://www.bretagnecommerceinternational.com
BRL ingénierie, dc.brli@brl.fr, 0033466875000, https://brli.brl.fr/
BUCHER VASLIN, commercial@buchervaslin.com, +33241745050, http://www.buchervaslin.com
BUREAU VERITAS, bruno.pitou@ci.bureauveritas.com, +33750153767, http://www.bureauveritas.com
BWT FRANCE, raphael.gallais@bwt.fr, +33149224648, http://www.bwt.fr
CB EQUIPEMENTS, christian.bletrix@cbequipements.fr, +33388045449+33607452156, http://www.cbequipements.fr
